Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",81.755000,-47.498000,0.000000,top
"C2","100n","C_0603_1608Metric",81.755000,-54.610000,0.000000,top
"C3","100n","C_0603_1608Metric",101.473000,-47.498000,0.000000,top
"C4","100n","C_0603_1608Metric",101.470000,-87.630000,0.000000,top
"C5","100n","C_0603_1608Metric",163.195000,-47.498000,0.000000,top
"C6","100n","C_0603_1608Metric",183.755000,-47.478000,0.000000,top
"C7","100n","C_0603_1608Metric",81.752000,-87.630000,0.000000,top
"C8","100n","C_0603_1608Metric",163.195000,-87.630000,0.000000,top
"C9","100n","C_0603_1608Metric",183.755000,-87.610000,0.000000,top
"C10","100n","C_0805_2012Metric",141.427200,-53.883600,-90.000000,top
"C11","100n","C_0805_2012Metric",128.347400,-55.058600,-90.000000,top
"C12","100n","C_0805_2012Metric",127.457200,-63.383200,90.000000,top
"C13","100n","C_0805_2012Metric",134.416800,-63.891200,90.000000,top
"C14","100n","C_0805_2012Metric",134.620000,-54.798000,-90.000000,top
"C15","100n","C_0805_2012Metric",131.470400,-94.081600,0.000000,top
"C21","100n","C_0603_1608Metric",101.473000,-54.610000,0.000000,top
"C22","100n","C_0603_1608Metric",163.195000,-54.610000,0.000000,top
"C23","100n","C_0603_1608Metric",183.755000,-54.590000,0.000000,top
"C24","100n","C_0603_1608Metric",81.752000,-94.742000,0.000000,top
"C25","100n","C_0603_1608Metric",101.470000,-94.742000,0.000000,top
"C26","100n","C_0603_1608Metric",163.195000,-94.742000,0.000000,top
"C27","100n","C_0603_1608Metric",183.755000,-94.722000,0.000000,top
"R1","4.7k","R_0805_2012Metric",141.224000,-58.570500,90.000000,top
"R2","4.7k","R_0805_2012Metric",131.414400,-75.219100,90.000000,top
"R3","4.7k","R_0805_2012Metric",134.391400,-75.219100,90.000000,top
"U1","BMP390","10LGA_2X2X0p75_BOS",131.347400,-56.896000,-90.000000,top
"U2","BMI088","PQFN50P450X300X100-16N",131.343400,-64.373600,-90.000000,top
"U3","BMI088","PQFN50P450X300X100-16N",163.185000,-51.039000,-90.000000,top
"U4","BMI088","PQFN50P450X300X100-16N",183.745000,-51.019000,-90.000000,top
"U5","BMI088","PQFN50P450X300X100-16N",81.742000,-91.171000,-90.000000,top
"U6","BMI088","PQFN50P450X300X100-16N",101.460000,-91.171000,-90.000000,top
"U7","BMI088","PQFN50P450X300X100-16N",163.185000,-91.171000,-90.000000,top
"U8","BMI088","PQFN50P450X300X100-16N",183.745000,-91.151000,-90.000000,top
"U9","BMI088","PQFN50P450X300X100-16N",81.745000,-51.039000,-90.000000,top
"U10","BMI088","PQFN50P450X300X100-16N",101.463000,-51.039000,-90.000000,top
